series_id,group,delta_raw_seed0,delta_relative_seed0,delta_raw_seed1,delta_relative_seed1,delta_raw_seed2,delta_relative_seed2,delta_relative_seedmean
FOODS_1_015_CA_2_evaluation,candidate,-0.04168959094059366,-0.019983836032496895,-0.04615581809361746,-0.022774159115137867,0.015552659854999096,0.007493093328348075,-0.01175496727309556
FOODS_1_015_WI_2_evaluation,candidate,0.03859343739878596,0.06108037263977049,0.04893466699358562,0.07556019044660045,0.05730682019297739,0.08772510403916803,0.07478855570851299
FOODS_1_027_TX_1_evaluation,candidate,0.04842701502592828,0.02841320823151328,0.017340605526352748,0.010303018727085365,0.042856184827475774,0.024973334835733513,0.021229853931444054
FOODS_1_027_WI_2_evaluation,candidate,0.016850550912823614,0.004898949044352329,-0.00976729644863683,-0.0028706705326015276,-0.15283738270560487,-0.04585156858246284,-0.01460776335690401
FOODS_1_028_CA_1_evaluation,candidate,-0.06197694166722778,-0.04360177262442692,-0.06451117175185361,-0.04560507935409412,-0.05973637459848513,-0.041532093279770185,-0.043579648419430406
FOODS_1_028_TX_3_evaluation,candidate,-0.07200338870534284,-0.043570107266268046,-0.07346198669090032,-0.04496523766183254,-0.07754225856290486,-0.0476276241356478,-0.0453876563545828
FOODS_1_028_WI_1_evaluation,candidate,-0.06304075856948765,-0.02685820791426442,-0.08289264777370686,-0.034793763964588144,-0.07373257401293953,-0.030521780674804405,-0.03072458418455232
FOODS_1_032_CA_1_evaluation,candidate,0.3679290343693489,0.09362400159384422,0.2735627385027066,0.07159961538910808,0.3244828607364525,0.08459722583077861,0.08327361427124363
FOODS_1_032_CA_2_evaluation,candidate,-0.07268964059548466,-0.015427062275188561,-0.05275541923366145,-0.011452885969224084,-0.10723294578982046,-0.022836861249039216,-0.01657226983115062
FOODS_1_032_CA_3_evaluation,candidate,-0.25530752693682857,-0.03842616467031021,-0.15275350624256312,-0.023418353036888672,0.042385896385559896,0.0063963532434962965,-0.018482721487900863
FOODS_1_032_TX_1_evaluation,candidate,-0.10362399969884262,-0.023340104052580593,-0.027338196460932274,-0.0061246265122968015,-0.09074378309229392,-0.020480298695506105,-0.0166483430867945
