citation_key,occurrences_in_manuscript,peer_reviewed,verified_source
ALR12,2,yes - Crossref verified,literature_boundary_verified/core_reference_list.md
Cro72,2,yes - Crossref verified,literature_boundary_verified/core_reference_list.md
GDTP25,1,yes - Crossref verified,literature_boundary_verified/core_reference_list.md
KH06,2,yes - Crossref verified,literature_boundary_verified/core_reference_list.md
Kou13,6,yes - Crossref verified,literature_boundary_verified/core_reference_list.md
MC26,1,"no - arXiv preprint, labelled in a footnote",literature_boundary_verified/core_reference_list.md
NAR26,5,yes - Crossref verified,literature_boundary_verified/core_reference_list.md
SB05,1,yes - Crossref verified,literature_boundary_verified/core_reference_list.md
SBC05,2,yes - Crossref verified,literature_boundary_verified/core_reference_list.md
TJWC21,1,yes - Crossref verified,literature_boundary_verified/core_reference_list.md
TSB11,2,yes - Crossref verified,literature_boundary_verified/core_reference_list.md
WSS04,1,yes - Crossref verified,literature_boundary_verified/core_reference_list.md
