section,displayed_value,quantity,source_file,source_field,aggregation,uncertainty_source
4.6,"+7.83 pp [+6.09,+9.45]",interval dependence contrast,results/synthetic_source_verification/stage1_verified_contrasts.csv,"effect_pp/ci, M1_HURDLE_MEAN",per series then bootstrap,2000-draw paired series bootstrap
4.6,"-4.58 pp [-6.28,-2.92]",magnitude dependence contrast,results/synthetic_source_verification/stage1_verified_contrasts.csv,effect_pp/ci,same,2000-draw paired series bootstrap
4.6,"-6.26 pp [-8.01,-4.57]",sparsity contrast,results/synthetic_source_verification/stage1_verified_contrasts.csv,effect_pp/ci,same,2000-draw paired series bootstrap
4.6,"+3.35 pp [+1.62,+5.09]",sparsity x interval,results/synthetic_source_verification/stage1_verified_contrasts.csv,effect_pp/ci,same,2000-draw paired series bootstrap
4.6,"-0.01 pp [-1.70,+1.69]","sparsity x magnitude, spans zero",results/synthetic_source_verification/stage1_verified_contrasts.csv,effect_pp/ci,same,2000-draw paired series bootstrap
4.6,"-16.74 pp [-18.45,-15.05]",interval x magnitude,results/synthetic_source_verification/stage1_verified_contrasts.csv,effect_pp/ci,same,2000-draw paired series bootstrap
4.6,"-1.96 pp [-3.64,-0.31]",three-way,results/synthetic_source_verification/stage1_verified_contrasts.csv,effect_pp/ci,same,2000-draw paired series bootstrap
4.6,"G = -3.01 [-6.79,+0.23]","C08, most direct-favourable Stage 1 cell",results/synthetic_source_verification/stage1_verified_cells.csv,rmse_mean_truth M0 vs M1,G=100(1-H/P),results/paper_synthesis_verified/claim_ledger_frozen.md sec 2
4.6,"0.0035 / 40 of 40 / [-0.2036,-0.0005]",control-arm integrity checks,results/synthetic_source_verification/stage1_validity.json,"long-motif, distinct seqs, Markov gain",as recorded,n/a
4.7,0.9652 / 0.2900 / 0.9030,C03 M1 error and the two hybrid columns,results/synthetic_source_verification/stage1_verified_cells.csv,"rmse_mean_truth, p_true_x_mu_hat, p_hat_x_mu_true",per cell,none quoted
4.8,"+0.1904 [+0.1699,+0.2119]",abs_rho_I coefficient,results/synthetic_source_verification/stage2_verified_factor_effects.csv,"estimate/ci, HURDLE_MEAN",factor model over 18 cells,2000-draw paired series bootstrap
4.8,"+0.0667 [+0.0533,+0.0807]",rho_I coefficient,results/synthetic_source_verification/stage2_verified_factor_effects.csv,estimate/ci,same,2000-draw paired series bootstrap
4.8,"-0.0711 [-0.0851,-0.0570]",rho_M coefficient,results/synthetic_source_verification/stage2_verified_factor_effects.csv,estimate/ci,same,2000-draw paired series bootstrap
4.8,"-0.0228 [-0.0441,-0.0020]",abs_rho_M coefficient,results/synthetic_source_verification/stage2_verified_factor_effects.csv,estimate/ci,same,2000-draw paired series bootstrap
4.8,"-0.0239 [-0.0322,-0.0153]",d coefficient,results/synthetic_source_verification/stage2_verified_factor_effects.csv,estimate/ci,same,2000-draw paired series bootstrap
4.8,"+0.0332 [+0.0194,+0.0471]",d x rho_I,results/synthetic_source_verification/stage2_verified_factor_effects.csv,estimate/ci,same,2000-draw paired series bootstrap
4.8,"-0.0124 [-0.0262,+0.0012]","d x rho_M, spans zero",results/synthetic_source_verification/stage2_verified_factor_effects.csv,estimate/ci,same,2000-draw paired series bootstrap
4.8,"-0.0886 [-0.1115,-0.0654]",rho_I x rho_M,results/synthetic_source_verification/stage2_verified_factor_effects.csv,estimate/ci,same,2000-draw paired series bootstrap
4.8,+12.10 / +3.57 / +16.47 pp,Figure 2B marginal means over rho_I,results/synthetic_source_verification/stage2_verified_cells.csv,gain*100,mean of 6 cells per level,"NONE - spread only, explicitly not a CI"
4.8,+14.10 / +11.94 / +6.11 pp,Figure 2C marginal means over rho_M,results/synthetic_source_verification/stage2_verified_cells.csv,gain*100,mean of 6 cells per level,"NONE - spread only, explicitly not a CI"
4.8,"G = -19.76 [-26.00,-14.53]","d=8, rho_I=0, rho_M=+0.8",results/synthetic_source_verification/stage2_verified_cells.csv,"gain, gain_ci_low/high",per cell,2000-draw paired series bootstrap
4.8,"G = +2.36 [-1.20,+5.73]","d=8, rho_I=0, rho_M=0, spans zero",results/synthetic_source_verification/stage2_verified_cells.csv,"gain, ci",per cell,2000-draw paired series bootstrap
4.8,"-0.0650 [-0.0743,-0.0562]",no-signal control Markov gain,results/synthetic_source_verification/stage2_scientific_classification.json,G1_NO_SIGNAL,as recorded,as recorded
5.4,3.152 / 3.260 / 3.411 / 3.483 / 4.202 / 4.220,M5 classical mean ranks,results/paper_outline_verified/detailed_outline.md sec 5.2,classical_benchmark/benchmark.json,mean rank,none
5.5,"+0.1064 [+0.0437,+0.1652]",H1 M5,results/paper_rendering_verified/drafts/table4_draft.md,estimate/ci,per series then bootstrap,2000-draw paired series bootstrap
5.5,"+0.0789 [+0.0205,+0.1405]",H1 Favorita,results/paper_rendering_verified/drafts/table4_draft.md,estimate/ci,same,2000-draw paired series bootstrap
5.5,"+0.1529 [+0.0519,+0.2613]","H1 within the intermittent regime, M5",results/paper_rendering_verified/drafts/table4_draft.md,estimate/ci,same,2000-draw paired series bootstrap
5.6,"-0.0230 [-0.0294,-0.0163]","H2 frozen selector, M5 675 vs 5018",results/paper_rendering_verified/drafts/table4_draft.md,estimate/ci,independent population,2000-draw paired series bootstrap
